,song_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
151,Any Way You Want It,Journey,0.529,0.932,7,-7.501,1,0.0488,0.00251,0.00109,0.136,0.571,138.158,201693,4
152,Come Together - Remastered 2009,The Beatles,0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007,259947,4
153,Day Tripper - Remastered 2015,The Beatles,0.665,0.782,6,-8.438,0,0.0307,0.12,4.19e-06,0.125,0.731,137.453,169000,4
154,Back In The U.S.S.R. - 2018 Mix,The Beatles,0.51,0.893,9,-9.267,1,0.0342,0.00102,5.85e-05,0.201,0.934,142.657,163467,4
155,Layla - Live At Hammersmith Odeon,Eric Clapton,0.333,0.871,5,-7.592,1,0.0425,0.00536,0.304,0.827,0.744,126.142,361840,4
156,Road Games (Jack Bruce) - Remastered,Allan Holdsworth,0.448,0.694,5,-7.774,1,0.0434,0.288,0.0112,0.192,0.444,89.775,254010,4
157,We Will Rock You - Remastered 2011,Queen,0.693,0.497,2,-7.316,1,0.119,0.679,0,0.258,0.473,81.308,122067,4
158,I Was Made For Lovin' You,KISS,0.768,0.852,4,-6.215,1,0.038,0.213,7.45e-05,0.0723,0.867,128.374,271240,4
159,Ain't Nobody,Chaka Khan,0.8,0.878,1,-7.109,1,0.0434,0.189,0.000104,0.14,0.816,104.282,280853,4
160,Do I Do,Stevie Wonder,0.719,0.822,11,-11.295,1,0.0499,0.139,4.44e-06,0.118,0.924,112.806,303467,4
161,P.Y.T. (Pretty Young Thing),Michael Jackson,0.888,0.815,11,-4.909,0,0.0404,0.23,0.000424,0.127,0.961,127.273,238733,4
162,Workin' Day and Night,Michael Jackson,0.907,0.875,7,-11.001,1,0.0635,0.0461,0.00349,0.13,0.865,129.797,313693,4
163,Billie Jean,Michael Jackson,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,293827,4
164,Smooth Criminal - 2012 Remaster,Michael Jackson,0.853,0.981,8,-3.947,1,0.0751,0.247,0.468,0.306,0.595,118.193,257760,4
165,Beat It,Michael Jackson,0.779,0.867,3,-3.704,0,0.0457,0.0491,7.98e-06,0.197,0.915,138.858,258040,4
166,Le Freak,CHIC,0.867,0.746,7,-7.445,1,0.0475,0.0453,0,0.123,0.933,118.616,327573,4
167,Blame It on the Boogie,The Jacksons,0.774,0.747,8,-7.302,1,0.0928,0.0671,0,0.112,0.881,113.298,210373,4
168,I Want You Back,The Jackson 5,0.639,0.548,8,-13.534,1,0.0394,0.29,9.68e-05,0.366,0.887,98.359,176333,4
169,1999 - Edit,Prince,0.882,0.562,5,-10.971,1,0.0515,0.265,1.68e-05,0.745,0.715,119.165,218867,4
170,Boogie Wonderland,"Earth, Wind & Fire",0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,288293,4
171,Stomp! - Single Version,The Brothers Johnson,0.859,0.782,10,-8.344,1,0.0369,0.154,0.0297,0.0693,0.931,119.518,247133,4
172,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,0.706,0.563,10,-15.564,0,0.0342,0.0704,0.00151,0.152,0.955,103.613,281667,4
173,We Are Family,Sister Sledge,0.784,0.893,7,-5.153,0,0.0923,0.3,1.57e-05,0.272,0.819,118.738,216733,4
174,Sir Duke,Stevie Wonder,0.588,0.568,6,-9.766,1,0.0672,0.16,0,0.0792,0.952,106.938,232760,4
175,Superstition - Single Version,Stevie Wonder,0.633,0.634,8,-12.115,1,0.0725,0.038,0.0064,0.0385,0.872,100.499,245493,4
176,That's the Way (I Like It),KC & The Sunshine Band,0.661,0.928,5,-6.898,0,0.0441,0.125,0.00277,0.345,0.851,108.587,306147,4
177,Brick House,Commodores,0.831,0.782,4,-10.48,0,0.0595,0.0731,0.0171,0.032,0.631,107.877,208893,4
178,Baba O'Riley,The Who,0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,300400,4
179,My Generation - Stereo Version,The Who,0.412,0.782,2,-9.186,0,0.058,0.308,0.00822,0.0775,0.705,96.732,198707,4
180,Who Are You,The Who,0.651,0.648,9,-11.409,1,0.0501,0.262,0.0042,0.0655,0.49,156.372,381627,4
181,Fast Car,Tracy Chapman,0.711,0.292,4,-15.523,0,0.037,0.313,0,0.131,0.194,103.951,296800,4
182,After the Love Has Gone,"Earth, Wind & Fire",0.424,0.443,6,-13.45,1,0.0382,0.532,0.000389,0.673,0.391,131.675,278040,4
183,After The Storm,Norman Brown,0.572,0.585,9,-10.166,1,0.0357,0.582,0.579,0.303,0.763,77.895,285600,4
184,"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",Eric Clapton,0.695,0.336,9,-12.999,1,0.0313,0.8,0.00264,0.701,0.422,79.109,280000,4
185,Wonderful Tonight,Eric Clapton,0.572,0.214,7,-15.625,1,0.0293,0.649,0.129,0.125,0.485,95.542,225027,4
186,Just Take My Heart - 2010 Remastered Version,Mr. Big,0.508,0.362,0,-9.369,1,0.0349,0.483,0,0.0996,0.207,168.586,265307,4
187,Purple Rain,Prince,0.367,0.452,10,-10.422,1,0.0307,0.0353,0.00228,0.689,0.189,113.066,520787,4
188,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Various Artists,0.383,0.662,2,-5.162,1,0.0333,0.165,0,0.248,0.138,121.154,298760,4
189,Wild World - 2009 Remastered Version,Mr. Big,0.573,0.722,5,-6.518,1,0.0295,0.182,0,0.29,0.59,144.209,208560,4
190,To Be With You - 2010 Remastered Version,Mr. Big,0.688,0.375,4,-9.601,1,0.0535,0.286,0,0.133,0.45,83.635,210480,4
191,Amanda,Boston,0.449,0.424,7,-14.06,1,0.0323,0.32,1.69e-06,0.107,0.259,125.494,256200,4
192,Nothing Compares 2 U,Prince,0.519,0.563,11,-5.04,1,0.0364,0.0952,7.02e-05,0.0895,0.345,124.02,280743,4
193,Heart of Gold - 2009 Remaster,Neil Young,0.541,0.459,4,-10.433,0,0.0297,0.189,0.0274,0.099,0.803,171.165,187013,4
194,Blackbird - Remastered 2009,The Beatles,0.686,0.127,7,-14.361,1,0.0342,0.754,1.41e-05,0.0573,0.372,93.699,138387,4
195,Here Comes The Sun - Remastered 2009,The Beatles,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,185733,4
196,Something - Remastered 2009,The Beatles,0.396,0.338,0,-10.872,1,0.0304,0.198,2.62e-06,0.138,0.377,133.522,182293,4
197,Oh! Darling - 2019 Mix,The Beatles,0.437,0.669,4,-6.524,1,0.0395,0.0344,0.00395,0.347,0.514,173.67,207147,3
198,While My Guitar Gently Weeps - 2018 Mix,The Beatles,0.421,0.668,2,-9.234,1,0.0364,0.00196,0.0172,0.307,0.635,115.124,285280,4
199,Penny Lane - Remastered,The Beatles,0.651,0.488,9,-8.22,1,0.0316,0.212,0.026,0.136,0.49,113.038,180893,4
200,The Most Beautiful Thing,Bruno Major,0.806,0.362,7,-10.381,1,0.0345,0.535,0.045,0.111,0.42,127.502,235427,4
201,Face To Face,Ruel,0.711,0.634,9,-4.351,1,0.0668,0.139,0,0.103,0.356,90.04,203747,4
202,Would You Believe,Sam Kim,0.629,0.271,3,-9.658,1,0.0522,0.354,1.38e-05,0.17,0.2,125.833,263227,3
203,some people,Jasmine Thompson,0.477,0.792,9,-4.715,0,0.236,0.506,0,0.0592,0.549,172.004,226772,4
204,Better,Khalid,0.683,0.562,0,-10.315,0,0.0605,0.086,0.279,0.12,0.149,98.027,229413,4
205,Easily,Bruno Major,0.772,0.256,7,-8.545,0,0.0481,0.491,0.00612,0.144,0.357,118.902,210240,3
206,Nothing,Bruno Major,0.555,0.27,2,-15.892,1,0.0884,0.931,0.536,0.103,0.274,139.691,162797,3
207,Sure Thing,Miguel,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,195373,4
208,Written In The Stars,WENDY,0.612,0.519,9,-5.568,1,0.0391,0.478,0,0.189,0.537,80.882,231341,4
209,Slow Down,Mac Ayres,0.729,0.338,5,-12.816,1,0.116,0.892,0.000295,0.118,0.184,119.345,234595,4
210,Focus,H.E.R.,0.597,0.291,1,-13.483,0,0.0576,0.255,1.9e-05,0.108,0.09,87.082,200195,4
211,Every Kind Of Way,H.E.R.,0.45,0.3,7,-9.53,1,0.0477,0.634,3.1e-06,0.142,0.207,96.394,160160,4
212,Best Part (feat. Daniel Caesar),H.E.R.,0.473,0.371,4,-10.219,0,0.0405,0.795,0,0.109,0.413,75.208,209400,4
213,Not Thinkin' Bout You,Ruel,0.66,0.357,10,-8.55,0,0.0594,0.267,0,0.0857,0.518,119.835,188387,4
214,Hard Place,H.E.R.,0.614,0.719,9,-4.694,1,0.0955,0.179,1.72e-05,0.163,0.34,160.075,271733,4
215,U,H.E.R.,0.647,0.648,4,-7.953,0,0.0502,0.00767,6.03e-05,0.117,0.271,109.942,178936,4
216,Avenue,H.E.R.,0.399,0.387,8,-12.455,1,0.237,0.518,1.88e-06,0.168,0.103,79.031,214240,4
217,Gone Away,H.E.R.,0.309,0.327,6,-12.752,0,0.195,0.698,0,0.0939,0.275,75.768,249520,1
218,Lights On,H.E.R.,0.71,0.407,10,-9.418,0,0.0925,0.63,0.000157,0.0948,0.339,118.091,219693,4
219,As I Am,H.E.R.,0.547,0.564,2,-8.101,0,0.291,0.0895,1.02e-06,0.152,0.179,81.155,240360,4
220,Get You (feat. Kali Uchis),Daniel Caesar,0.658,0.294,4,-8.533,0,0.0321,0.422,5.2e-05,0.0749,0.358,74.038,278180,4
221,Slumber,Lewis Watson,0.541,0.285,0,-11.687,1,0.03,0.83,9.99e-05,0.171,0.237,131.838,306478,4
222,Home,Bruno Major,0.479,0.446,11,-7.291,1,0.0377,0.825,2.49e-06,0.0926,0.118,130.63,200620,4
223,Like Someone In Love,Bruno Major,0.597,0.462,10,-7.816,1,0.0597,0.649,7.28e-06,0.11,0.377,71.578,143888,4
224,Old Soul,Bruno Major,0.801,0.388,6,-9.737,0,0.205,0.422,0.00532,0.104,0.627,155.021,186667,4
225,Wouldn't Mean A Thing,Bruno Major,0.567,0.196,6,-12.008,1,0.162,0.831,3.63e-05,0.112,0.455,121.316,174167,4
226,You Give Me Something - Live At The Hospital Club,James Morrison,0.452,0.329,0,-12.433,1,0.0508,0.861,3.78e-06,0.689,0.383,77.668,300954,4
227,26,Paramore,0.561,0.286,2,-10.917,1,0.0266,0.852,3.56e-05,0.116,0.409,90.004,221720,4
228,Say,Various Artists,0.289,0.708,10,-6.75,1,0.0374,0.54,1.51e-06,0.0751,0.549,167.654,229227,4
229,Saturday Sun,Vance Joy,0.637,0.864,8,-4.381,1,0.0468,0.484,0,0.222,0.706,99.995,214720,4
230,On Your Way Home,Patrick Droney,0.45,0.333,7,-9.522,1,0.0459,0.539,0,0.0843,0.582,94.436,165523,4
231,Call If You Need Me,Vance Joy,0.748,0.573,0,-6.057,1,0.0332,0.879,0.00581,0.0989,0.463,110.177,163720,4
232,Easy,Mac Ayres,0.722,0.282,5,-7.484,1,0.106,0.373,0.00557,0.147,0.217,91.367,314358,4
233,Hold Back The River,James Bay,0.715,0.715,5,-7.364,1,0.0904,0.0526,0,0.0936,0.506,134.923,238747,4
234,Scars,James Bay,0.424,0.451,5,-8.817,1,0.0626,0.09,0.00048,0.11,0.212,129.768,272600,5
235,Too Late For Lullabies,James Morrison,0.385,0.435,0,-7.266,0,0.0347,0.371,0,0.106,0.481,160.0,256040,3
236,justified,Kacey Musgraves,0.669,0.552,0,-7.98,1,0.0587,0.807,0.000874,0.321,0.488,100.102,180800,4
237,Those Sweet Words,Norah Jones,0.798,0.234,2,-10.699,1,0.0317,0.875,0.000626,0.134,0.403,103.152,202640,4
238,Let It Go,James Bay,0.546,0.311,1,-10.396,1,0.0288,0.818,1.65e-05,0.107,0.246,147.464,260533,4
239,Georgia,Vance Joy,0.388,0.66,11,-7.372,1,0.0308,0.312,0.000307,0.0943,0.401,143.554,230507,4
240,Better Together,Jack Johnson,0.871,0.346,5,-9.481,1,0.0522,0.298,9.24e-06,0.108,0.659,110.054,207680,4
241,Weak,SWV,0.693,0.533,2,-10.954,0,0.0402,0.107,0,0.0695,0.568,127.661,291907,4
242,Stickwitu,The Pussycat Dolls,0.657,0.55,9,-6.406,1,0.0475,0.301,0,0.0786,0.42,80.003,207507,4
243,Alaska,Maggie Rogers,0.853,0.353,9,-12.146,0,0.043,0.416,0.00614,0.0987,0.141,103.989,188717,4
244,Call It What You Want,Taylor Swift,0.598,0.504,9,-9.874,1,0.0731,0.186,0.000221,0.34,0.252,163.954,203507,4
245,Can't Help Falling in Love,Haley Reinhart,0.41,0.0485,0,-13.918,1,0.038,0.947,0,0.108,0.247,137.97,173175,4
246,Drive,Incubus,0.651,0.793,4,-7.312,0,0.0338,0.0538,0.01,0.137,0.682,90.573,232533,4
247,Easy,Commodores,0.589,0.384,10,-15.075,0,0.0332,0.112,2.8e-05,0.0596,0.354,132.909,256427,4
248,The Only Exception,Paramore,0.452,0.563,4,-6.607,1,0.0272,0.144,0,0.143,0.209,137.715,267653,3
249,Stay,Mac Ayres,0.679,0.27,2,-10.649,1,0.0454,0.589,0,0.0621,0.415,120.608,268657,3
250,Need The Sun To Break,James Bay,0.537,0.485,2,-8.131,1,0.0332,0.102,3.83e-06,0.319,0.293,152.012,224813,4
251,If I Ain't Got You,Alicia Keys,0.609,0.444,7,-9.129,1,0.106,0.603,6.86e-06,0.104,0.166,118.402,228707,3
252,Dear No One,Tori Kelly,0.627,0.592,6,-5.977,1,0.314,0.126,0,0.111,0.462,167.882,197847,4
253,Paper Hearts,Tori Kelly,0.416,0.233,3,-10.988,1,0.0347,0.882,0,0.0934,0.242,68.853,199584,4
254,Tell Me Where It Hurts,MYMP,0.726,0.542,7,-7.952,1,0.042,0.702,0,0.0962,0.396,89.583,253013,4
255,The Closer I Get to You,MYMP,0.745,0.327,2,-9.386,1,0.0522,0.244,3.97e-06,0.148,0.382,119.678,240013,4
256,Say You Love Me,MYMP,0.82,0.403,9,-8.504,0,0.0471,0.766,0,0.117,0.464,96.63,266013,4
257,Tango,ABIR,0.53,0.519,4,-5.998,0,0.224,0.2,0,0.112,0.462,144.993,186056,4
258,The Weekend,SZA,0.4,0.366,8,-9.405,0,0.0597,0.242,0,0.126,0.161,73.313,272187,3
259,SUPERPOSITION,Daniel Caesar,0.589,0.279,4,-11.209,1,0.0408,0.911,0.000128,0.087,0.333,115.656,263795,4
260,loyal,Jasmine Thompson,0.452,0.401,8,-6.67,1,0.0594,0.41,9.84e-06,0.127,0.106,67.482,226570,3
261,take care,Jasmine Thompson,0.4,0.471,6,-5.689,1,0.0421,0.734,0,0.126,0.382,75.413,178738,4
262,more,Jasmine Thompson,0.441,0.302,4,-9.053,1,0.0516,0.762,1.13e-05,0.111,0.129,80.438,286488,5
263,Light On,Maggie Rogers,0.657,0.569,2,-6.287,1,0.0542,0.201,1.38e-05,0.126,0.399,102.054,233880,4
264,colour (amen),Jasmine Thompson,0.48,0.419,5,-5.479,1,0.035,0.853,0,0.134,0.41,71.576,208179,4
265,The Wrong Ones,JC Stewart,0.556,0.668,1,-6.245,1,0.0874,0.0536,0,0.066,0.695,172.913,167885,4
266,Ain't Nobody (Loves Me Better) - Acoustic,Jasmine Thompson,0.512,0.245,2,-8.828,0,0.0338,0.851,0,0.131,0.266,93.971,178355,4
267,Waterfalls,TLC,0.769,0.505,1,-7.345,1,0.0829,0.311,7.49e-05,0.0777,0.757,171.804,279507,4
268,lowkey,NIKI,0.752,0.494,0,-8.18,1,0.0559,0.432,0,0.0869,0.227,117.901,171356,4
269,Tadhana,Up Dharma Down,0.686,0.322,6,-13.2,1,0.0369,0.165,0.0296,0.0809,0.511,155.982,222447,4
270,Turn It Well,Up Dharma Down,0.816,0.413,11,-12.509,0,0.0373,0.379,0.573,0.164,0.562,113.017,367502,4
271,Parks,Up Dharma Down,0.728,0.383,7,-13.417,1,0.0276,0.225,0.00756,0.0446,0.412,99.977,319410,4
272,Night Drops,Up Dharma Down,0.679,0.442,1,-12.132,1,0.0364,0.00703,0.777,0.194,0.397,109.991,319574,4
273,Kulang,Up Dharma Down,0.768,0.565,2,-11.863,1,0.0904,0.184,0.331,0.0808,0.436,179.962,234259,4
274,Guiding Light,Foy Vance,0.443,0.218,1,-12.165,1,0.0294,0.7,0.000115,0.0993,0.262,133.783,352240,4
275,It Takes Two,Fiji Blue,0.731,0.597,4,-7.661,1,0.0567,0.338,0.00114,0.0771,0.863,101.991,159013,4
276,12:45 - Stripped,Etham,0.459,0.214,5,-10.66,1,0.0403,0.634,0,0.125,0.397,163.816,179013,4
277,Cherry Wine,grentperez,0.761,0.565,11,-7.016,0,0.0411,0.345,0,0.0825,0.583,105.008,173286,4
278,How Deep Is Your Love,PJ Morton,0.796,0.459,8,-7.716,0,0.0443,0.705,1.15e-05,0.0605,0.767,88.0,197082,4
279,Take A Bow,Rihanna,0.708,0.47,9,-7.59,1,0.0659,0.248,0,0.0852,0.536,82.007,229413,4
280,"Sunny Days, Summer Nights",Sam Kim,0.67,0.354,7,-12.587,1,0.0326,0.698,0.000166,0.109,0.33,127.136,249771,4
281,SEATTLE,Sam Kim,0.406,0.145,11,-10.571,1,0.0398,0.97,3.1e-06,0.161,0.346,131.974,308989,4
282,Through the Night,IU,0.428,0.313,8,-7.327,1,0.0391,0.757,0,0.309,0.284,78.723,253293,4
283,Dear Name,IU,0.312,0.589,2,-5.071,1,0.0334,0.459,0,0.106,0.237,133.854,289580,3
284,Flower Way (Prod. By ZICO),KIMSEJEONG,0.344,0.281,1,-9.59,1,0.0545,0.828,0,0.118,0.37,74.998,239123,4
285,"If I Ainâ€™t Got You - James Bay Spotify Session 2015 ""Alicia Keys Cover""",James Bay,0.652,0.18,5,-9.735,0,0.111,0.743,4.04e-06,0.71,0.328,115.218,261120,3
286,Slow Dancing in a Burning Room,John Mayer,0.667,0.361,1,-8.69,0,0.0273,0.575,0.00506,0.0805,0.29,134.018,242000,5
287,Edge of Desire,John Mayer,0.606,0.441,9,-9.303,1,0.0272,0.326,0.0128,0.116,0.455,66.443,332067,3
288,Gravity,John Mayer,0.753,0.326,7,-9.883,1,0.0342,0.731,0.00131,0.24,0.237,123.799,245827,3
289,Shouldn't Matter but It Does,John Mayer,0.549,0.324,4,-11.769,1,0.0285,0.457,2.2e-06,0.133,0.268,80.888,236733,4
290,Why You No Love Me,John Mayer,0.635,0.562,9,-7.315,1,0.0223,0.387,0.000366,0.113,0.501,97.988,255213,4
291,In Repair,John Mayer,0.427,0.588,2,-6.721,1,0.0293,0.0538,0.0014,0.0697,0.394,145.099,367813,4
292,The Heart of Life,John Mayer,0.495,0.238,1,-11.026,1,0.03,0.958,0.0118,0.0875,0.357,175.958,198200,4
293,Love on the Weekend,John Mayer,0.718,0.583,7,-7.884,1,0.0288,0.623,0.000681,0.0612,0.422,119.971,212320,4
294,Moving On and Getting Over,John Mayer,0.85,0.461,6,-9.018,0,0.0531,0.591,0.0405,0.0922,0.621,94.037,265360,4
295,Rosie,John Mayer,0.758,0.465,7,-6.547,1,0.0374,0.489,5.13e-05,0.116,0.758,138.9,240627,4
296,Transcend - feat. Armi,Ovall,0.693,0.666,0,-9.47,1,0.0492,0.255,0.301,0.101,0.695,95.022,218392,4
297,You're On My Mind,Tom Misch,0.785,0.394,4,-8.01,1,0.0392,0.572,0.000801,0.111,0.131,100.002,258747,4
298,golden thing,Cody Simpson,0.375,0.282,4,-11.761,1,0.0409,0.897,0.00168,0.0952,0.295,77.656,219300,4
299,Tonight,Stephen Day,0.758,0.451,4,-7.467,0,0.0414,0.541,0.00283,0.11,0.292,122.098,231639,4
